lakecode,lakename,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
JJM22,shell,45.732,-91.896,North America,United States of America,370.94,10.45,7.01,11,NA,Dale Robertson,SHELL LAKE;Shell;Shell Lake,LIAG,LIAG,LAKEPEDIA,,389.4
xKB1618,shields,44.36998,-93.44184,North America,United States of America,NA,NA,NA,NA,NA,MN climatologist,Shields (MN66005500),,,,,336.7
GAH24,sunapee,43.376,-72.053,North America,United States of America,NA,NA,NA,32,NA,Julia Daly,Sunapee Lake,,,LAKEPEDIA,,428.8
ARAI1,suwa,36.04,138.08,Asia,Japan,759,13.7,4.1,7.6,18,Yasuyuki Aono,Lake Suwa;LAKE SUWA;Suwa,Yasuyuki Aono,Yasuyuki Aono,Yasuyuki Aono,LIAG,807.2
xNL082,tesse,61.814,8.941,Europe,Norway,NA,12.78,NA,NA,24.14,Leif Asbjørn Vøllestad et al. 2021 - Dryad,Tesse Lake,Norwegian Water Resources and Energy Directorate,,,Norwegian Water Resources and Energy Directorate,856
xHM01,thingvallavatn,64.1833326,-21.1499994,Europe,Iceland,NA,84,34,114,NA,Leif Asbjørn Vøllestad et al. 2021 - Dryad,,Þingvallavatn Lake,Þingvallavatn Lake,Þingvallavatn Lake,,100
GAH26,thompson,44.0661,-70.4853,North America,United States of America,NA,NA,NA,NA,NA,Julia Daly,Thompson Lake,,,,,109.1
xNL084,tunhovdfjorden,60.426,8.833,Europe,Norway,NA,25.3,NA,NA,NA,Leif Asbjørn Vøllestad et al. 2021 - Dryad,Tunhovdfjorden Lake,Norwegian Water Resources and Energy Directorate,,,,734
GAH27,umbagog,44.8014,-71.0283,North America,United States of America,NA,NA,NA,14,NA,Julia Daly,Umbagog Lake,,,LAKEPEDIA,,408.2
xHJHF06,untersee,47.6957,9.0232,Europe,Germany,NA,29.3,19.1,46,NA,Harrie-Jan Hendricks Franssen,Untersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,398.5
JK04,vesijarvi,61.18,25.54,Europe,Finland,81.4,107.6,6.6,40,169,Johanna Korhonen,LAKE VESIJARVI (1462);VesijÃ¤rvi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,LIAG,83
JK45,visuvesi,62.12,23.93,Europe,Finland,96.1,46.2,6.95,62,NA,Johanna Korhonen,VISUVESI;Visuvesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,116.7
GAH28,west_grand,45.2156,-67.8144,North America,United States of America,NA,NA,NA,39,NA,Julia Daly,West Grand Lake,,,LAKEPEDIA,,106.6
xKB1978,wilson,44.600448,-70.2536112,North America,United States of America,NA,NA,NA,NA,NA,Julia Daly,Wilson Lake,,,,,174
GAH29,winnipesaukee,43.603,-71.362,North America,United States of America,NA,NA,NA,NA,NA,Julia Daly,Winnipesaukee,,,,,156.7
